争论,主题
一个人需要有能力选择工作，只要他们身体健康就能够做到。,我们应该结束强制退休。
一个人或企业有权利从他们自己的发明、想法、流程等中获利或使用，而不必担心有人窃取。,我们应该废除知识产权。
一个人应可以在其他选择无效的紧急情况下获得发薪日贷款。,应该禁止发放薪酬日贷款
一个人应该有权承载武器，以保护自己和周围的其他人。,我们应该废除持有和携带武器的权利
一个人应该有权选择是否保持贞洁，而不受迫害。,应该放弃独身誓约
一个人应该有权选择他们想要和谁度过一生。,我们应该合法化一夫多妻。
一个人应该能够向他们想要的上帝形象祈祷。采纳无神论只会让宗教走向地下，而不是停止它。,我们应该采纳无神论
一个人应该被允许选择用自然方法来治疗他们的疾病，尤其是那些自17世纪起就存在的方法。,顺势疗法带来的伤害大于益处
一个人应该被允许选择发生在他们身体上的事情,我们应该禁止未成年人进行整容手术。
一个人应该有自由选择任何他们想要的律师，而不必选择公职辩护人。,公共辩护人的使用应该是强制的
一个人应该决定该怎样处理自己的身体，而不是政府。如果他们想要寻求另类医学，他们应该有自由这样做。,我们应该禁止自然疗法
一个人应该有尊严去选择他们的死亡方式,协助自杀应该是一种刑事犯罪行为
一个人应该有权利选择他们是否想要活着或死去,辅助自杀应该是一种刑事犯罪
一个人应该有权选择以自己的方式离世,“协助自杀应被视为刑事犯罪”
一个人不应该被迫过着痛苦的生活，当死亡已经注定。,协助自杀应该是一种犯罪行为
否认大屠杀的人如果看不到那些遭受苦难的人的真相，就应被控告犯有刑事罪行。,否认大屠杀应该是一种犯罪行为
一个人运用自己的想象力和辛勤劳动来创作书籍或音乐。他们应该能够从自己的作品中获益，这些作品不应该进入公共领域。,我们应该废除知识产权。
一个做得很好的人应该得到额外的收入,我们应限制高管薪酬
一个患绝症且痛苦不堪的人应当有权在医疗监督下结束自己的痛苦。,协助自杀应被视为刑事犯罪
接受职业教育的人一生的收入比拥有大学学位的人要少。,我们应该补贴职业教育
一个人的信仰比他们在学校日常被迫做的事情都更重要。鼓励学生有一段时间参与他们的宗教活动是值得的。,我们应该禁止学校祈祷
一个人的教育应该是他们自己的责任,我们应该给学生贷款提供补贴
一个人的身份是基于他们的性别的，这一点应该得到认可，否则可能会被视为冒犯。,我们应该采用性别中立的语言
一个人的观点是其个人的信念，一个人的思想自由不应受侵犯。,否认大屠杀应当构成犯罪。
一个人的价值不应该以一个数字为基准。仅仅因为你达到了一定年龄并不意味着你不想要或者不需要工作。强制退休对老年工作者是有害的。,我们应该废除强制退休。
一张纸不能将人们联系在一起,我们应该放弃婚姻
一项民意调查显示，超过90%的人支持美国实行多党制。,我们应该采用多党制。
在智力测试中取得差结果可能会损害自尊，并不公正地影响个人的进步能力，因为会被贴上标签。,智力测试带来的伤害大于好处。
在社交媒体上的存在使小企业能够触达更广泛的受众并蓬勃发展，而在过去，它们可能因为没有足够多的人知道它们的存在而失败。,社交媒体带来更多的危害而不是好处
一位牧师选择向上帝许下独身的誓言。他并非被迫。如果他选择成为牧师，他会许下这个誓言。我们不应该剥夺他成为牧师时做出的这个承诺。,这句话的直译意思是“独身誓约应该被放弃”。
一个囚犯营地应该设在美国，这样可以完全受美国法律管辖。,我们应该关闭关塔那摩湾拘留营
一家私营公司的主要利益是获取利润，这可能导致不良做法甚至腐败。绝对不能信任他们来管理需要做出生死决定的军事事务。,我们应该禁止私人军事公司
一家私人军事公司可以提供比政府机构更精简和省钱的运营，因为政府机构在历史上往往浪费和效率低下。,我们应该禁止私人军事公司。
一家私人军事公司可以在不遵循战争规则或日内瓦公约的情况下协助执行任务。,我们应该禁止私人军事公司
犯罪活动的可能历史并不是犯罪已经发生的证据，而且诱使犯罪活动的行为本质上是在鼓励犯罪活动，可能原本不会发生。,诱导应该被合法化
一个会让更多酒后驾车司机上路，增加交通事故和死亡人数的产品绝不能合法化！,我们应该合法化大麻
任何人都应该有一个公共辩护律师。对于被指控犯罪的人来说，代表是至关重要的。,公共辩护律师的使用应该是强制性的
一个公共辩护律师不应该是强制性的，因为我们没有足够的资金为每个人提供律师。有些犯罪案件非常明确，罪犯没有必要被辩护。,公共辩护律师的使用应该是强制性的
一系列不同观点可能比事实更好。,我们应该限制司法激进主义。
一种真正的教育是给予学生学习、思考和表达自己的工具；告诉他们该穿什么向他们传递了一个强烈的信息，即我们不相信他们能够独立思考。,我们应该放弃使用校服
对一个被选中的未婚和离婚女性群体进行的研究发现，她们更喜欢独身生活，而不是在一个虐待的婚姻中生活。,我们应该放弃婚姻
一个安全的空间不允许讨论任何可能让未受教育的人了解为什么他们的观点是错误的。,我们应该废除安全空间
一个安全的空间是青少年聚集的好地方，这样他们就不会身处危险的地方。,我们应该废除安全空间
只有在学生没有受到良好行为教育时，安全空间才是必要的,我们应该废除安全空间
一个安全的空间可能意味着在应对心理健康问题时能力与无法应对之间的差异。,我们应该废除安全空间。
"一所学校有来自各种宗教和信仰的学生。 这些信仰涵盖了不同的祈祷对象。
禁止学校祈祷让所有学生可以按照自己的选择崇拜。",我们应该禁止学校祈祷
学校不是军队。我们的目标是培养出良好道德的人，服从和纪律并不是达成目标的最佳工具。,我们应该在学校实施零容忍政策
学校不是祈祷的地方，因为学校是多元化的，许多学生不祈祷或不信仰上帝或祈祷。,我们应该禁止学校祈祷
